frontend_route,component,angular_service,http_method,backend_endpoint,mvp_status,notes
"/admin/editorial/franchises","AdminFranchisesComponent","EditorialAdminService","CRUD","/api/catalog/franchises","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/series","AdminSeriesComponent","EditorialAdminService","CRUD","/api/catalog/series","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/items","AdminItemsComponent","EditorialAdminService","CRUD","/api/catalog/series/{seriesId}/items","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/editions","AdminEditionsComponent","EditorialAdminService","CRUD","/api/catalog/items/{itemId}/editions","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/creators","AdminCreatorsComponent","EditorialAdminService","CRUD","/api/catalog/creators","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/credits","AdminCreditsComponent","EditorialAdminService","CRUD","/api/catalog/items/{itemId}/creators","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/relationships","AdminRelationshipsComponent","EditorialAdminService","CRUD","/api/catalog/items/{itemId}/relationships","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/master-product-links","AdminMasterProductLinksComponent","EditorialAdminService","CRUD","/api/catalog/master-product-links","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/admin/editorial/data-quality","AdminDataQualityComponent","EditorialAdminService","GET","/api/catalog/admin/data-quality/report","MVP3_ADMIN_PARTIAL","Available to ADMIN or EDITORIAL_ADMIN."
"/","Redirect","None","N/A","No direct API call","REDIRECT","Redirects to /home."
"/dashboard","Redirect","None","N/A","No direct API call","REDIRECT","Redirects to /home."
"/recommendations","Redirect","None","N/A","No direct API call","REDIRECT","Redirects to /wanted."
"/**","Fallback redirect","None","N/A","No direct API call","REDIRECT","Unknown URL redirects to /home."
